Date,Favorite,ID,Retweet,Text
2019-07-24 16:05:56,0,1154060152514985984,330,"RT @DerrickNAACP: ""We have a predator living in the White House. And it is the nature of predators to prey on those they perceive to be vul…"
2019-07-24 15:34:01,3823,1154052121865666565,670,People of color—especially Black and Latino men—are more likely to go to jail for a marijuana-related offense. It’s time we correct this injustice. My comprehensive bill is the first step. https://t.co/rJHBspUkA8
2019-07-24 14:46:30,245,1154040162478723072,10,@ZachWahls @ChloeAngyal Congratulations @ZachWahls and Chloe!
2019-07-24 01:23:00,3945,1153837955674361856,1005,"Denali Berries Stuckey is at least the 12th Black trans women killed this year. We cannot ignore this violence. Transgender people deserve to live openly without fear.
https://t.co/EMbM2TnyYH"
2019-07-23 23:24:00,38409,1153808009664970753,7625,"Let’s speak an uncomfortable but honest truth: racism, sexism, anti-Semitism, homophobia, and transphobia are real in this country. 

They are age-old forms of hate with new fuel. And we need to speak that truth so we can deal with it."
2019-07-23 21:20:01,0,1153776804894838791,167,"RT @nathanpevans: PFAS chemicals are polluting water supplies throughout New Hampshire. 

@KamalaHarris' new legislation would direct the E…"
2019-07-23 19:23:01,6026,1153747362805927936,1429,"Marijuana laws are not applied or enforced the same way for all Americans. 
We must expunge non-violent marijuana-related offenses from the records of those who have been arrested or incarcerated. It’s the right thing to do. 
https://t.co/pSVv5GVUXT"
2019-07-23 17:23:02,1340,1153717165813587968,302,"The U.S. airline industry is booming, while airline catering workers are living with poverty wages and expensive health care. I stand with @unitehere today at @Reagan_Airport to ensure those who service America's flights earn their fair share."
2019-07-23 16:50:35,13972,1153708999734378503,2914,"Today I introduced a comprehensive marijuana reform bill that is the first step towards legalization. My bill will:

✅Decriminalize marijuana at the federal level

✅Expunge prior marijuana convictions

✅Use tax revenue from marijuana sales to help those w/ prior convictions"
2019-07-23 16:49:55,0,1153708833891594242,144,"RT @daryongeronimo: Wednesday, July 24 @KamalaHarris will attend SEIU rally in Detroit to support security officers trying to unionize. htt…"
2019-07-23 16:12:05,2099,1153699312418918400,501,"From coast to coast, from Flint to New Orleans, communities across our nation — particularly communities of color — lack access to clean water. My Water Justice Act will change that. 
https://t.co/AQDpK2bBZF"
2019-07-23 13:45:21,0,1153662386039115776,2319,"RT @wendydavis: I’m proud to announce my campaign for Congress in TX-21! 

I’m running to be a voice for every Texan who feels forgotten by…"
2019-07-23 13:18:56,29442,1153655736276307968,12239,"“I’m so hungry that I’ve woken up in the middle of the night with hunger. I’m too scared to ask the officials for any more food.”

It’s horrific how this Administration treats children. 
https://t.co/UvwFnu2CAx"
2019-07-23 01:54:00,22549,1153483369029734400,3011,"We need a president with the courage to stand up to the gun lobby and pass reasonable gun safety laws, including universal background checks and a renewal of the assault weapons ban."
2019-07-23 00:49:00,2806,1153467011353194502,531,"My 3 AM agenda would make a difference for every American — no matter who you are or where you live. 
✅Give working families up to $500/mo 
✅Invest in our teachers
✅Hold corporations accountable for paying women fairly"
2019-07-22 23:46:00,4307,1153451155587907585,748,Family is everything. https://t.co/J5iPZ0ePxh
2019-07-22 23:11:00,5565,1153442349877514241,1803,"Trump is attempting to pursue mass deportations by denying immigrants access to a lawyer or judge. It's vile, dangerous, and must be stopped. 
https://t.co/zIul8LBxaH"
2019-07-22 22:55:01,0,1153438326877241345,70,RT @alweinstock: My first CTC!!!! Officially an Iowa Organizer!! #KamalaforIowa #ForThePeople https://t.co/yWvKuadNE1
2019-07-22 22:15:01,975,1153428262049259526,169,My thoughts are with Darren Parker's loved ones. I'm grateful for his dedication to lift up the voices of African-American leaders and ensure we have representation from the White House to the school house. May his life and legacy continue to inspire others to action.
2019-07-22 21:33:00,4967,1153417685570641921,586,My guilty pleasure? Doritos. https://t.co/vOaLMZeYWl
2019-07-22 20:38:00,15155,1153403845256667136,2551,Trump’s domestic gag rule is a direct assault on women’s health and I will begin the process of reversing it on my first day as President. No doctor should be banned from providing their patients with all of their options.
2019-07-22 18:14:01,995,1153367609565437952,265,"This weekend we announced Young Leaders #ForThePeople, a group for students and young organizers to get involved in our campaign. Help spread the word to young leaders in your area. 
https://t.co/yV4pAU8PAu"
2019-07-22 16:17:00,6037,1153338161948495873,1038,"When I have some time off the campaign trail, I love to be in the kitchen whipping up something new for my family. See what @douglasemhoff and I were cooking the other day. https://t.co/rmjRRPkYBX"
2019-07-22 15:03:01,4234,1153319541788807168,1167,"No one should have to risk death by rationing insulin. As president, I will take on pharmaceutical companies who are forcing Americans to turn to the black market for life-saving drugs.
https://t.co/t3yMArZbBO"
2019-07-22 14:10:58,0,1153306442750971906,144,RT @RobertGarciaLB: Have joined the Kamala Harris campaign in Iowa to meet folks on the ground working to change our country. Attended mass…
2019-07-22 00:13:00,8287,1153095564566900741,1514,"Working families have been left behind, while those at the top have reaped the benefits. When elected, I will reverse Trump’s trillion-dollar tax scam and put money back in the pockets of middle-class families."
2019-07-21 22:22:00,34344,1153067629801889792,4312,"As president, I’ll give Congress 100 days to send legislation to my desk to stop Big Pharma from raking in massive profits at the expense of Americans.

If Congress won’t act, I will."
2019-07-21 20:01:01,2432,1153032148741435392,367,"Go, Aubrey, go! See you in 2020. 
https://t.co/UPY37LeusO"
2019-07-21 18:19:00,11087,1153006475855486977,2315,Let me tell you about real strength. https://t.co/5z9Xp7nk5U
2019-07-21 16:29:30,59,1152978918456070144,12,@momimbored Thank you for your hard work! It'll take people just like you in their local communities to help us win this. #ForThePeople
2019-07-21 16:14:00,2033,1152975020945227776,532,"We are fighting so younger generations don’t have to grow up in a world where the president spreads hate instead of hope. This campaign is by the people and #ForThePeople. Chip in now. 
https://t.co/ClRsqX2wxE"
2019-07-21 13:05:01,9206,1152927461488943104,2149,"It’s not just Arizona. Teachers are overworked and underpaid across our country.

They invested in us, it’s time we invested in them. My plan would give the average teacher a $13,500 raise — the largest investment in teachers in our nation’s history.
https://t.co/HbQEZzKgEm"
2019-07-21 01:25:00,4548,1152751295675162624,1048,"Reforming the money bail system in America is a criminal and economic justice issue. People sit in jail in America every day simply because they don’t have money to afford bail, while those with means are able to get out. It’s unjust and must change."
2019-07-20 22:26:00,5322,1152706248946659328,1543,"Trump’s assault on refugees is un-American. Turning our backs on those fleeing violence and harm means we’ve abandoned our moral leadership on the world stage.
https://t.co/3lm3oEhyu5"
2019-07-20 21:28:00,0,1152691653666398215,611,RT @NARAL: Choice is power.
2019-07-20 20:31:00,1410,1152677308433612801,415,"Today, we’re excited to launch Young Leaders #ForThePeople. Across the country, young people are breaking barriers and moving our nation forward on their college campuses and in their communities. Be one of the first to join us. https://t.co/8YnDICGe3E"
2019-07-20 18:45:02,1210,1152650639178178560,307,"Proud to stand with nurses at Hopkins as they organize with @NationalNurses to fight for the rights of patients to safe care. Hopkins must respect their right to organize without interference.
https://t.co/YdNhaT1bPD"
2019-07-20 18:16:40,4498,1152643502334984192,964,The only path to justice for the people of Puerto Rico is to speak truth against divisive and corrupt leaders. I stand with them as they protest and demand accountability.
2019-07-20 17:47:20,0,1152636121047805952,193,"RT @TurnerJanelle: Sign a commit to caucus card ✔️
Host volunteers for the Weekend of Action ✔️
Make campaign theme cookies with Nora ✔️…"
2019-07-20 17:06:00,24634,1152625719685582848,3826,"It’s been seven years since the mass shooting at the Aurora movie theater in Colorado, and Congress hasn’t done enough. 

No matter where you live, you deserve to feel safe. We can keep guns out of the hands of dangerous people. 

All we need is a president willing to act."
2019-07-20 15:28:00,6566,1152601056284741632,1156,"Stay safe this weekend. States across the country will reach dangerously high temperatures. Hydrate, check in on your neighbors and the elderly, and know how to recognize the signs of heat exhaustion."
2019-07-20 00:52:00,6882,1152380602752163841,1266,"Middle-class families are struggling to make ends meet while Big Pharma turns record profits. As president, I will require pharmaceutical companies to set fair prices for prescription drugs and tax profits made from abusive drug companies."
2019-07-19 23:16:00,675,1152356443888279552,219,"Your contribution — no matter how big or small — is the lifeline of our campaign’s organizing efforts. Our campaign is driven by the people and for the people. Chip in now: 
https://t.co/zGFAiP8XRm"
2019-07-19 21:27:01,7403,1152329015602139136,1674,"Guns are the second leading cause of death for children and teens in America. We must address this crisis. As president, I will take executive action to protect our kids and families from gun violence. 
https://t.co/XQbCQ7tzYi"
2019-07-19 19:30:13,4777,1152299624784420865,1000,My Rent Relief Act provides a tax credit to families who spend 30% or more of their income on rent and utilities. We’ve got to make sure that nobody has to work two or three jobs—or cut corners on other basic necessities—just to keep a roof over their head.
